"","Race","Region","EDUC","Gender"
"1980","White","South","Secondary","Male"
"1981","White","Northeast","Bachelors","Female"
"1982","White","Midwest","Secondary","Male"
"1983","White","Midwest","Secondary","Male"
"1984","Hispanic","South","Secondary","Female"
"1985","White","South","Secondary","Male"
"1986","White","South","Secondary","Male"
"1987","White","West","Bachelors","Female"
"1988","White","Midwest","Secondary","Female"
"1989","White","Midwest","Secondary","Male"
"1990","Black","Midwest","Secondary","Female"
"1991","White","Midwest","Bachelors","Male"
"1992","White","Midwest","Secondary","Female"
"1993","White","West","Secondary","Female"
"1994","White","South","Secondary","Male"
"1995","White","Midwest","Secondary","Female"
"1996","White","Midwest","Bachelors","Male"
"1997","White","South","Secondary","Male"
"1998","White","West","Masters","Female"
"1999","Black","South","Secondary","Male"
"2000","Black","South","Masters","Female"
"2001","White","West","Secondary","Female"
"2002","White","South","Secondary","Male"
"2003","White","Midwest","Secondary","Male"
"2004","Other","West","Secondary","Male"
"2005","White","Midwest","Bachelors","Male"
"2006","White","Midwest","Primary","Female"
"2007","White","West","Secondary","Female"
"2008","White","South","Masters","Female"
"2009","Hispanic","West","Secondary","Female"
"2010","White","Midwest","Masters","Female"
"2011","White","South","Bachelors","Female"
"2012","White","South","Secondary","Female"
"2013","Black","South","Professional","Female"
"2014","Black","West","Bachelors","Male"
"2015","White","West","Secondary","Female"
"2016","White","Midwest","Secondary","Male"
"2017","White","South","Primary","Female"
"2018","White","Northeast","Masters","Male"
"2019","Black","Midwest","Secondary","Male"
"2020","Hispanic","South","Secondary","Female"
"2021","Black","South","Bachelors","Male"
"2022","Black","West","Secondary","Male"
"2023","White","Midwest","Secondary","Female"
"2024","White","Midwest","Bachelors","Male"
"2025","White","West","Secondary","Male"
"2026","White","Midwest","Secondary","Male"
"2027","White","Northeast","Secondary","Male"
"2028","Black","West","Secondary","Female"
"2029","White","Midwest","Masters","Female"
"2030","White","Midwest","Secondary","Female"
"2031","White","Midwest","Secondary","Male"
"2032","White","West","Primary","Male"
"2033","White","Midwest","Secondary","Male"
"2034","White","South","Bachelors","Male"
"2035","White","Midwest","Secondary","Female"
"2036","White","West","Bachelors","Female"
"2037","Hispanic","South","Primary","Female"
"2038","Black","South","Professional","Female"
"2039","White","Northeast","Primary","Male"
"2040","Hispanic","South","Secondary","Female"
"2041","White","Midwest","Bachelors","Male"
"2042","Hispanic","South","Bachelors","Male"
"2043","Black","Northeast","Bachelors","Male"
"2044","White","South","Professional","Female"
"2045","White","Midwest","Bachelors","Female"
"2046","White","Midwest","Secondary","Female"
"2047","Other","Midwest","Secondary","Male"
"2048","White","South","Professional","Male"
"2049","White","Midwest","Bachelors","Female"
"2050","White","Midwest","Bachelors","Female"
"2051","White","South","Secondary","Female"
"2052","Black","South","Secondary","Male"
"2053","Other","South","Primary","Male"
"2054","White","Midwest","Bachelors","Male"
"2055","Hispanic","South","Professional","Female"
"2056","White","Midwest","Secondary","Male"
"2057","White","South","Secondary","Male"
"2058","Black","South","Secondary","Male"
"2059","White","South","Secondary","Female"
"2060","White","South","Secondary","Male"
"2061","White","Midwest","Masters","Male"
"2062","White","West","Secondary","Male"
"2063","Other","South","Secondary","Female"
"2064","White","Northeast","Bachelors","Male"
"2065","White","South","Secondary","Female"
"2066","White","West","Secondary","Male"
"2067","White","South","Masters","Male"
"2068","White","West","Secondary","Male"
"2069","White","South","Secondary","Male"
"2070","White","Midwest","Masters","Female"
"2071","White","South","Bachelors","Female"
"2072","White","Northeast","Bachelors","Female"
"2073","Black","West","Secondary","Female"
"2074","Black","South","Secondary","Female"
"2075","Black","South","Secondary","Male"
"2076","White","South","Masters","Male"
"2077","White","South","Masters","Female"
"2078","White","Northeast","Bachelors","Female"
"2079","White","South","Secondary","Male"
"2080","White","West","Masters","Male"
"2081","Other","South","Masters","Male"
